City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
chuy,-33.6971,-53.4616,77.14,68,2,7.61,UY,1611955477
rikitea,-23.1203,-134.9692,79.88,67,97,6.49,PF,1611955257
yellowknife,62.456,-114.3525,-14.01,76,1,9.22,CA,1611955477
khuzdar,27.7384,66.6434,47.61,36,4,2.48,PK,1611955477
upernavik,72.7868,-56.1549,-7.31,82,86,11.95,GL,1611955319
kapaa,22.0752,-159.319,75.2,69,40,19.57,US,1611955478
illoqqortoormiut,3.0707,172.7902,80.6,75,93,18.63,KI,1611955478
butaritari,66.8333,70.8333,-41.37,80,16,4.56,RU,1611955478
yar-sale,-21.3585,55.7679,78.8,65,0,5.75,RE,1611955444
saint-philippe,45.9167,-1,51.8,100,75,9.22,FR,1611955478
rochefort,50.6309,38.6903,31.95,98,100,15.37,RU,1611955479
alekseyevka,18.3851,42.4509,60.8,29,0,13.8,SA,1611955479
taolanaro,56.3491,78.3619,4.26,94,100,9.69,RU,1611955479
faya,16.7333,82.2167,68.45,92,81,0.69,IN,1611955479
severnoye,-0.9131,122.8766,75.85,71,100,4,ID,1611955457
yanam,4.1363,96.1285,73.96,89,100,6.8,ID,1611955480
barentsburg,39.1834,-84.5333,34,51,90,3.44,US,1611955270
biak,-22.2763,166.4572,81,69,75,5.75,NC,1611955480
meulaboh,-9.4333,159.95,81.23,79,100,5.66,SB,1611955480
hamilton,63.1792,14.6357,-4,77,90,1.3,SE,1611955480
noumea,-46.6,168.3333,48,80,87,8.01,NZ,1611955279
honiara,-12.4,-74.9,58.86,63,90,7.74,PE,1611955481
ostersund,55.7435,-97.8558,8.6,72,90,5.75,CA,1611955481
bluff,57.79,-152.4072,35.6,64,75,11.5,US,1611955481
pampas,-24.8667,113.6333,77,83,2,5.75,AU,1611955481
thompson,55.3422,-131.6461,32,86,90,5.75,US,1611955292
kodiak,-33.9258,18.4232,69.01,82,20,9.22,ZA,1611955481
carnarvon,39.0287,43.3586,33.8,80,75,2.3,TR,1611955482
ketchikan,32.6667,-17.1,57.99,75,68,3,PT,1611955482
cape town,50.2314,106.2078,-1.79,91,99,0.94,MN,1611955482
ercis,-9.8,-139.0333,78.67,77,3,19.15,PF,1611955482
ponta do sol,61.1333,74.8167,-35.68,81,43,4.56,RU,1611955482
suhbaatar,-8.9266,125.4092,61.65,100,100,4.38,TL,1611955300
atuona,41.1415,-73.3579,23,42,1,24.16,US,1611955483
lokosovo,-37.6167,-73.65,58.32,94,98,3.62,CL,1611955483
airai,34.5686,105.8933,33.33,72,100,1.19,CN,1611955483
westport,-40.8135,-62.9967,69.01,48,93,20.74,AR,1611955483
candawaga,-54.8,-68.3,42.8,70,75,11.5,AR,1611955397
lebu,18.7333,-103.6833,87.8,40,40,6.8,MX,1611955483
beidao,20.3467,-74.4958,71.55,77,99,11.39,CU,1611955484
viedma,-21.2,-175.2,77,94,90,9.22,TO,1611955484
ushuaia,60.3778,92.6267,-28.53,81,100,5.01,RU,1611955484
coahuayana,-30.1811,-50.2056,79.59,87,100,8.3,BR,1611955484
baracoa,-29.823,27.2374,62.94,61,100,3.11,LS,1611955484
vaini,26.1906,-97.6961,75.99,53,75,14.97,US,1611955484
teya,-19.8,-174.35,80.6,83,75,9.22,TO,1611955485
cidreira,22.2855,114.1577,59,69,0,20.76,HK,1611955302
mafeteng,70.6333,147.9167,-24.3,86,100,7.63,RU,1611955280
harlingen,40.2833,97.2,21.38,74,0,15.14,CN,1611955485
pangai,-0.8667,134.0833,77.5,78,100,4.54,ID,1611955326
victoria,-46.1927,168.8643,48,80,29,8.01,NZ,1611955485
chokurdakh,-53.15,-70.9167,50,50,75,19.57,CL,1611955485
yumen,5.4112,100.3354,79,83,20,3.44,MY,1611955486
manokwari,-34.4833,-54.3333,79.45,49,21,8.7,UY,1611955486
mataura,27.0167,95.5667,51.3,84,1,3.65,IN,1611955486
punta arenas,14.8961,-24.4956,75.61,56,77,10.83,CV,1611955486
georgetown,50.6789,156.125,20.82,91,98,14.16,RU,1611955266
rocha,36.297,59.6062,44.6,45,0,4.61,IR,1611955486
khonsa,-46.2817,169.8464,55.99,72,78,1.99,NZ,1611955486
sao filipe,39.7042,119.1506,21.96,71,0,4.52,CN,1611955487
severo-kurilsk,-6.8844,112.2051,77.76,86,100,16.15,ID,1611955487
mashhad,69.3833,178.4167,-23.85,84,97,8.97,RU,1611955331
kaitangata,-36.7167,-73.1167,59,100,90,10.36,CL,1611955487
changli,-42.7826,147.0587,64.99,89,62,1.97,AU,1611955265
labuhan,51.1578,39.4292,32.47,96,100,17.27,RU,1611955487
leningradskiy,35.1333,140.3,37.4,48,20,18.41,JP,1611955248
talcahuano,47.5999,-53.2648,27,88,100,8.99,CA,1611955488
new norfolk,8.4833,76.9167,80.6,78,40,2.62,IN,1611955488
davydovka,-0.7393,-90.3518,84.2,70,40,14.97,EC,1611955264
katsuura,-11.2522,-74.6386,78.84,77,100,0.76,PE,1611955432
bay roberts,9.75,-63.1767,83.62,57,63,9.89,VE,1611955488
thiruvananthapuram,-9.5972,-35.9567,77,88,75,4.61,BR,1611955488
puerto ayora,67.8006,130.4114,-28.88,81,100,1.57,RU,1611955287
satipo,25.9333,81.9833,46.11,57,0,7.36,IN,1611955489
maturin,-0.6,73.0833,81.37,76,56,9.64,MV,1611955489
pilar,43.3236,145.575,28.31,98,100,13.35,JP,1611955489
batagay-alyta,10.5669,72.642,80.31,72,11,8.97,IN,1611955489
bela,59.7035,30.7861,33.01,100,90,6.71,RU,1611955489
hithadhoo,-0.1783,10.7649,77.07,88,91,5.57,GA,1611955489
nemuro,-21.2078,-159.775,82.4,78,91,6.91,CK,1611955490
kavaratti,70.3705,31.1107,23,93,75,14.97,NO,1611955476
nikolskoye,69.4865,88.3972,-31.94,67,1,1.43,RU,1611955271
ndjole,43.2,51.65,35.85,83,0,5.12,KZ,1611955490
avarua,-20.9667,164.7,78.58,75,6,3.85,NC,1611955490
vardo,32.6881,128.8419,43.34,61,0,10.22,JP,1611955490
talnakh,-2.9248,-39.9167,81.27,75,100,13.87,BR,1611955333
kuryk,5.2741,-3.595,80.6,83,20,2.3,CI,1611955491
voh,29.5833,-9.5,63.48,47,0,1.23,MA,1611955293
fukue,-42.8794,147.3294,64.99,88,20,6.91,AU,1611955261
itarema,-2.0226,147.2712,82.65,78,98,9.71,PG,1611955492
mys shmidta,12.0769,15.0306,77,14,0,12.66,CM,1611955492
